store_id,product_id,week,weekly_units_sold,weekly_units_ordered,avg_inventory_level,avg_price,avg_discount,holiday_promotion,lag_1_units_sold,lag_2_units_sold,lag_4_units_sold,rolling_4wk_avg,rolling_8wk_avg,rolling_4wk_std,week_over_week_change
S001,P0001,2022-02-14,994,847,230.8571428571429,61.83,7.857142857142857,1,708.0,1032.0,1142.0,854.75,770.125,183.62892836732817,0.4039548022598871
S001,P0001,2022-02-21,1222,875,275.42857142857144,37.28142857142858,12.857142857142858,1,994.0,708.0,685.0,989.0,896.875,212.2294355958507,0.22937625754527158
S001,P0001,2022-02-28,1259,644,348.7142857142857,42.99571428571429,9.285714285714286,1,1222.0,994.0,1032.0,1045.75,966.0,253.83245786673277,0.03027823240589189
S001,P0001,2022-03-07,983,990,326.1428571428572,67.15857142857143,11.428571428571429,1,1259.0,1222.0,708.0,1114.5,1003.125,146.34320391918902,-0.21922160444797456
S001,P0001,2022-03-14,946,704,197.8571428571429,42.097142857142856,14.285714285714286,1,983.0,1259.0,994.0,1102.5,978.625,160.77416873780857,-0.03763987792472023
S001,P0001,2022-03-21,552,811,210.0,64.25571428571429,7.857142857142857,1,946.0,983.0,1222.0,935.0,962.0,291.02691742632106,-0.41649048625792817
S001,P0001,2022-03-28,476,725,260.42857142857144,58.044285714285714,5.0,1,552.0,946.0,1259.0,739.25,892.5,262.3755260436207,-0.1376811594202898
S001,P0001,2022-04-04,936,898,262.0,63.53714285714285,9.285714285714286,1,476.0,552.0,983.0,727.5,921.0,248.50687448573063,0.9663865546218486
S001,P0001,2022-04-11,1563,853,344.0,74.49428571428572,10.0,1,936.0,476.0,946.0,881.75,992.125,496.7939713804909,0.6698717948717949
S001,P0001,2022-04-18,877,762,234.57142857142856,52.99,14.285714285714286,1,1563.0,936.0,552.0,963.0,949.0,449.1822198915121,-0.4388995521433141
S001,P0001,2022-04-25,1295,658,273.85714285714283,40.48,10.0,1,877.0,1563.0,476.0,1167.75,953.5,321.79639007712115,0.47662485746864314
S001,P0001,2022-05-02,266,815,249.8571428571429,45.80571428571428,13.571428571428571,1,1295.0,877.0,936.0,1000.25,863.875,565.0601000483636,-0.7945945945945946
S001,P0001,2022-05-09,1017,761,326.0,49.80142857142857,8.571428571428571,1,266.0,1295.0,1563.0,863.75,872.75,434.7193539131502,2.8233082706766917
S001,P0001,2022-05-16,912,650,272.2857142857143,67.28428571428572,11.428571428571429,1,1017.0,266.0,877.0,872.5,917.75,435.4266107317436,-0.1032448377581121
S001,P0001,2022-05-23,943,807,212.0,32.91571428571429,7.857142857142857,1,912.0,1017.0,1295.0,784.5,976.125,348.4618582666784,0.033991228070175517
S001,P0001,2022-05-30,1236,779,245.7142857142857,55.16,11.428571428571429,1,943.0,912.0,266.0,1027.0,1013.625,146.1300790391903,0.31071049840933185
S001,P0001,2022-06-06,1426,619,299.0,57.77857142857143,9.285714285714286,1,1236.0,943.0,1017.0,1129.25,996.5,245.8609024089299,0.15372168284789645
